iter	Passed	Remaining
346	762	1434
347	764	1431
348	765	1428
349	767	1424
350	768	1421
351	771	1419
352	773	1416
353	774	1413
354	776	1410
355	778	1407
356	780	1404
357	781	1402
358	783	1399
359	786	1398
360	788	1396
361	790	1393
362	792	1390
363	794	1387
364	795	1384
365	797	1381
366	799	1379
367	801	1376
368	803	1373
369	804	1370
370	806	1367
371	808	1364
372	810	1362
373	812	1359
374	814	1356
375	817	1356
376	819	1354
377	821	1351
378	822	1348
379	824	1345
380	826	1342
381	827	1339
382	829	1336
383	831	1333
384	833	1331
385	834	1328
386	836	1325
387	838	1322
388	839	1319
389	841	1316
390	843	1313
391	845	1311
392	847	1308
393	849	1306
394	850	1303
395	852	1300
396	853	1297
397	855	1294
398	857	1291
399	859	1288
400	860	1285
401	862	1283
402	864	1280
403	865	1277
404	867	1274
405	869	1271
406	870	1268
407	872	1265
408	875	1265
409	877	1262
410	879	1260
411	880	1257
412	882	1254
413	884	1251
414	885	1248
415	887	1245
416	890	1244
417	891	1241
418	893	1239
419	895	1236
420	896	1233
421	898	1230
422	900	1228
423	901	1225
424	905	1224
425	906	1221
426	908	1219
427	910	1216
428	911	1213
429	913	1210
430	915	1208
431	916	1205
432	918	1203
433	920	1200
434	922	1198
435	924	1195
436	925	1192
437	927	1189
438	928	1186
439	930	1183
440	931	1181
441	934	1179
442	936	1176
443	937	1174
444	939	1171
445	940	1168
446	942	1165
447	944	1163
448	945	1160
449	947	1157
450	949	1155
451	951	1153
452	952	1150
453	954	1148
454	956	1146
455	958	1143
456	960	1140
457	961	1138
458	963	1135
459	965	1133
460	967	1131
461	968	1128
462	970	1125
463	972	1123
464	974	1120
465	975	1117
466	977	1115
467	978	1112
468	980	1110
469	982	1107
470	984	1105
471	985	1102
472	988	1101
473	989	1098
474	991	1095
475	992	1093
476	995	1091
477	996	1088
478	998	1086
479	1000	1083
480	1001	1080
481	1003	1078
482	1005	1075
483	1007	1073
484	1009	1071
485	1011	1069
486	1012	1066
487	1014	1064
488	1016	1061
489	1017	1059
490	1019	1056
491	1020	1054
492	1024	1053
493	1025	1050
494	1027	1048
495	1028	1045
496	1031	1044
497	1033	1042
498	1035	1039
499	1037	1037
500	1039	1035
501	1041	1033
502	1043	1030
503	1045	1029
504	1047	1026
505	1048	1023
506	1050	1021
507	1052	1019
508	1054	1017
509	1055	1014
510	1057	1012
511	1059	1009
512	1061	1007
513	1062	1004
514	1064	1002
515	1066	1000
516	1068	997
517	1069	995
518	1071	993
519	1073	990
520	1074	987
521	1076	985
522	1077	982
523	1079	980
524	1080	977
525	1084	976
526	1085	974
527	1087	971
528	1089	969
529	1090	967
530	1092	964
531	1093	962
532	1095	959
533	1098	958
534	1100	956
535	1101	953
536	1103	951
537	1105	949
538	1106	946
539	1108	944
540	1110	941
541	1112	940
542	1114	937
543	1115	935
544	1117	932
545	1118	930
546	1120	927
547	1121	925
548	1123	923
549	1125	920
550	1127	918
551	1129	916
552	1131	914
553	1132	911
554	1134	909
555	1135	906
556	1137	904
557	1138	902
558	1140	900
559	1143	898
560	1144	895
561	1146	893
562	1148	891
563	1149	888
564	1151	886
565	1152	884
566	1157	883
567	1159	881
568	1160	879
569	1162	876
570	1163	874
571	1165	872
572	1167	869
573	1168	867
574	1171	865
575	1172	863
576	1174	860
577	1175	858
578	1176	855
579	1177	853
580	1179	850
581	1180	847
582	1182	845
583	1184	843
584	1186	841
585	1188	839
586	1190	837
587	1191	835
588	1193	832
589	1195	830
590	1196	828
591	1198	826
592	1201	824
593	1203	822
594	1204	819
595	1206	817
596	1208	815
597	1209	813
598	1211	811
599	1213	809
600	1215	807
601	1217	804
602	1218	802
603	1220	799
604	1221	797
605	1223	795
606	1224	793
607	1226	790
608	1227	788
609	1229	786
610	1231	784
611	1233	781
612	1234	779
613	1236	777
614	1237	774
615	1239	772
616	1240	770
617	1242	767
618	1244	765
619	1246	763
620	1247	761
621	1249	759
622	1250	756
623	1252	754
624	1254	752
625	1255	750
626	1257	748
627	1259	745
628	1261	743
629	1262	741
630	1264	739
631	1265	737
632	1267	734
633	1268	732
634	1270	730
635	1272	728
636	1274	726
637	1275	723
638	1277	721
639	1278	719
640	1280	717
641	1282	714
642	1283	712
643	1285	710
644	1287	708
645	1289	706
646	1291	704
647	1292	702
648	1294	699
649	1295	697
650	1297	695
651	1299	693
652	1300	691
653	1302	689
654	1304	686
655	1305	684
656	1307	682
657	1308	680
658	1309	677
659	1311	675
660	1312	673
661	1313	670
662	1314	668
663	1316	666
664	1317	663
665	1319	661
666	1321	659
667	1322	657
668	1324	655
669	1326	653
670	1327	650
671	1328	648
672	1329	646
673	1331	644
674	1333	641
675	1334	639
676	1336	637
677	1338	635
678	1339	633
679	1340	630
680	1342	628
681	1343	626
682	1345	624
683	1347	622
684	1348	620
685	1350	617
686	1351	615
687	1352	613
688	1354	611
689	1355	608
690	1356	606
691	1357	604
692	1359	602
693	1361	600
694	1363	598
695	1364	595
696	1365	593
697	1367	591
698	1368	589
699	1369	586
700	1370	584
701	1372	582
702	1373	580
703	1375	578
704	1377	576
705	1378	574
706	1380	572
707	1381	569
708	1383	567
709	1385	565
710	1386	563
711	1388	561
712	1390	559
713	1392	557
714	1393	555
715	1394	553
716	1396	551
717	1397	548
718	1398	546
719	1400	544
720	1401	542
721	1402	540
722	1404	538
723	1406	536
724	1407	533
725	1409	531
726	1410	529
727	1411	527
728	1413	525
729	1414	523
730	1416	521
731	1418	519
732	1419	517
733	1421	515
734	1422	512
735	1423	510
736	1425	508
737	1426	506
738	1428	504
739	1429	502
740	1430	500
741	1431	497
742	1434	496
743	1435	494
744	1437	491
745	1438	489
746	1439	487
747	1441	485
748	1442	483
749	1443	481
750	1444	479
751	1446	476
752	1448	475
753	1449	472
754	1451	471
755	1453	469
756	1455	467
757	1456	465
758	1457	462
759	1459	460
760	1460	458
761	1462	456
762	1463	454
763	1465	452
764	1466	450
765	1467	448
766	1469	446
767	1470	444
768	1471	442
769	1473	440
770	1474	437
771	1476	435
772	1478	434
773	1479	431
774	1480	429
775	1482	427
776	1483	425
777	1484	423
778	1486	421
779	1487	419
780	1489	417
781	1490	415
782	1492	413
783	1494	411
784	1495	409
785	1497	407
786	1498	405
787	1500	403
788	1501	401
789	1502	399
790	1504	397
791	1506	395
792	1508	393
793	1510	391
794	1511	389
795	1513	387
796	1514	385
797	1516	383
798	1517	381
799	1518	379
800	1520	377
801	1522	375
802	1523	373
803	1524	371
804	1526	369
805	1527	367
806	1529	365
807	1530	363
808	1531	361
809	1533	359
810	1535	357
811	1537	355
812	1539	354
813	1540	352
814	1542	350
815	1543	348
816	1545	346
817	1546	344
818	1547	342
819	1550	340
820	1552	338
821	1553	336
822	1554	334
823	1556	332
824	1557	330
825	1558	328
826	1560	326
827	1561	324
828	1562	322
829	1565	320
830	1566	318
831	1568	316
832	1569	314
833	1570	312
834	1572	310
835	1573	308
836	1574	306
837	1576	304
838	1577	302
839	1579	300
840	1581	298
841	1582	296
842	1583	294
843	1585	293
844	1586	291
845	1587	289
846	1589	287
847	1590	285
848	1591	283
849	1593	281
850	1595	279
851	1597	277
852	1598	275
853	1599	273
854	1600	271
855	1601	269
856	1603	267
857	1604	265
858	1605	263
859	1606	261
860	1608	259
861	1610	257
862	1611	255
863	1613	253
864	1614	252
865	1616	250
866	1617	248
867	1618	246
868	1620	244
869	1621	242
870	1624	240
871	1625	238
872	1626	236
873	1628	234
874	1629	232
875	1631	230
876	1632	228
877	1633	227
878	1635	225
879	1636	223
880	1638	221
881	1640	219
882	1642	217
883	1643	215
884	1645	213
885	1646	211
886	1648	209
887	1649	208
888	1652	206
889	1654	204
890	1656	202
891	1657	200
892	1659	198
893	1660	196
894	1662	195
895	1664	193
896	1667	191
897	1669	189
898	1671	187
899	1672	185
900	1674	183
901	1676	182
902	1677	180
903	1679	178
904	1682	176
905	1684	174
906	1685	172
907	1687	170
908	1689	169
909	1690	167
910	1692	165
911	1693	163
912	1697	161
913	1699	159
914	1700	158
915	1702	156
916	1704	154
917	1706	152
918	1707	150
919	1709	148
920	1712	146
921	1714	145
922	1715	143
923	1716	141
924	1717	139
925	1719	137
926	1720	135
927	1722	133
928	1726	131
929	1728	130
930	1729	128
931	1731	126
932	1733	124
933	1735	122
934	1736	120
935	1738	118
936	1740	117
937	1742	115
938	1743	113
939	1745	111
940	1746	109
941	1748	107
942	1750	105
943	1751	103
944	1753	102
945	1755	100
946	1757	98
947	1758	96
948	1760	94
949	1761	92
950	1763	90
951	1765	88
952	1766	87
953	1768	85
954	1769	83
955	1771	81
956	1773	79
957	1774	77
958	1776	75
959	1778	74
960	1779	72
961	1781	70
962	1783	68
963	1786	66
964	1787	64
965	1789	62
966	1791	61
967	1792	59
968	1794	57
969	1796	55
970	1798	53
971	1800	51
972	1802	50
973	1803	48
974	1805	46
975	1806	44
976	1808	42
977	1809	40
978	1811	38
979	1814	37
980	1816	35
981	1817	33
982	1819	31
983	1820	29
984	1822	27
985	1823	25
986	1825	24
987	1827	22
988	1829	20
989	1831	18
990	1833	16
991	1834	14
992	1836	12
993	1838	11
994	1840	9
995	1842	7
996	1844	5
997	1845	3
998	1847	1
999	1849	0
